№;Блок;Код вопроса;Параметр;Вопрос;Можно выбрать;Ситуационная задача;Вариант;Текст варианта;Дети и подростки;Люди с инвалидностью;Старшее поколение;Экология;Физическая нагрузка;Работа на улице;Эмоциональная нагрузка;Регулярность;Специальная подготовка;Организация и лидерство;Обучение и объяснение;Творчество и игры;Работа один на один
4;1. Мотивы и стиль;general-teamwork;Роль в команде;Кем ты чаще всего оказываешься в командной работе?;один ответ;;a;Тем, кто ведёт за собой и заряжает остальных;2;0;0;1;0;0;0;0;0;3;0;0;0
4;1. Мотивы и стиль;general-teamwork;Роль в команде;Кем ты чаще всего оказываешься в командной работе?;один ответ;;b;Генератором идей, который придумывает, что и как сделать;1;0;0;2;0;0;0;0;0;1;0;3;0
4;1. Мотивы и стиль;general-teamwork;Роль в команде;Кем ты чаще всего оказываешься в командной работе?;один ответ;;c;Надёжным исполнителем, на которого можно положиться;0;0;2;0;0;0;0;2;0;-1;0;0;0
4;1. Мотивы и стиль;general-teamwork;Роль в команде;Кем ты чаще всего оказываешься в командной работе?;один ответ;;d;Тем, кто замечает, кому нужна помощь, и оказывается рядом;0;2;0;0;0;0;0;0;0;0;0;0;2
5;1. Мотивы и стиль;general-time;Время на волонтёрство;Сколько времени ты готов(а) уделять волонтёрству?;один ответ;;a;Несколько часов каждую неделю — и так месяцами;0;0;0;0;0;0;0;3;0;0;0;0;0
5;1. Мотивы и стиль;general-time;Время на волонтёрство;Сколько времени ты готов(а) уделять волонтёрству?;один ответ;;b;Пару раз в месяц, когда получается;0;0;0;0;0;0;0;1;0;0;0;0;0
5;1. Мотивы и стиль;general-time;Время на волонтёрство;Сколько времени ты готов(а) уделять волонтёрству?;один ответ;;c;Только иногда — на разовых акциях и событиях;0;0;0;0;0;0;0;-2;0;0;0;0;0
5;1. Мотивы и стиль;general-time;Время на волонтёрство;Сколько времени ты готов(а) уделять волонтёрству?;один ответ;;d;Пока не знаю;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1. Мотивы и стиль;general-training;Готовность к обучению;Для некоторых видов помощи нужна подготовка: школа наставников, курс жестового языка, обучение в хосписе. Как ты к этому относишься?;один ответ;;a;С удовольствием поучусь — это интересно;0;0;0;0;0;0;0;0;3;0;0;0;0
6;1. Мотивы и стиль;general-training;Готовность к обучению;Для некоторых видов помощи нужна подготовка: школа наставников, курс жестового языка, обучение в хосписе. Как ты к этому относишься?;один ответ;;b;Готов(а), если обучение короткое;0;0;0;0;0;0;0;0;1;0;0;0;0
6;1. Мотивы и стиль;general-training;Готовность к обучению;Для некоторых видов помощи нужна подготовка: школа наставников, курс жестового языка, обучение в хосписе. Как ты к этому относишься?;один ответ;;c;Хочу помогать сразу, без подготовки;0;0;0;0;0;0;0;0;-2;0;0;0;0
7;1. Мотивы и стиль;general-physical;Отношение к физической нагрузке;Как ты относишься к физической нагрузке — носить тяжёлое, копать, много ходить?;один ответ;;a;Нормально, люблю подвигаться;0;0;0;0;3;1;0;0;0;0;0;0;0
7;1. Мотивы и стиль;general-physical;Отношение к физической нагрузке;Как ты относишься к физической нагрузке — носить тяжёлое, копать, много ходить?;один ответ;;b;В меру, если без тяжестей;0;0;0;0;1;0;0;0;0;0;0;0;0
7;1. Мотивы и стиль;general-physical;Отношение к физической нагрузке;Как ты относишься к физической нагрузке — носить тяжёлое, копать, много ходить?;один ответ;;c;Предпочитаю спокойную работу;0;0;0;0;-1;0;0;0;0;0;0;0;0
7;1. Мотивы и стиль;general-physical;Отношение к физической нагрузке;Как ты относишься к физической нагрузке — носить тяжёлое, копать, много ходить?;один ответ;;d;Мне противопоказана физическая нагрузка;0;0;0;0;-2;0;0;0;0;0;0;0;0
8;2. Дети и подростки;children-experience;Опыт общения с детьми;Есть ли у тебя опыт общения с детьми и подростками — вожатство, репетиторство, кружки, младшие братья и сёстры?;один ответ;;a;Да, я регулярно занимаюсь с детьми;3;0;0;0;0;0;0;0;0;0;0;0;0
8;2. Дети и подростки;children-experience;Опыт общения с детьми;Есть ли у тебя опыт общения с детьми и подростками — вожатство, репетиторство, кружки, младшие братья и сёстры?;один ответ;;b;Бывает время от времени — в семье или с детьми знакомых;2;0;0;0;0;0;0;0;0;0;0;0;0
8;2. Дети и подростки;children-experience;Опыт общения с детьми;Есть ли у тебя опыт общения с детьми и подростками — вожатство, репетиторство, кружки, младшие братья и сёстры?;один ответ;;c;Почти нет, но мне было бы интересно попробовать;1;0;0;0;0;0;0;0;0;0;0;0;0
8;2. Дети и подростки;children-experience;Опыт общения с детьми;Есть ли у тебя опыт общения с детьми и подростками — вожатство, репетиторство, кружки, младшие братья и сёстры?;один ответ;;d;Нет, с детьми мне обычно неуютно;0;0;0;0;0;0;0;0;0;0;0;0;0
9;2. Дети и подростки;children-activities;Интересные занятия с детьми;Чем тебе было бы интересно заниматься с ребятами?;несколько ответов;;a;Помогать с учёбой и готовить к экзаменам;1;0;0;0;0;0;0;0;0;0;1;0;0
9;2. Дети и подростки;children-activities;Интересные занятия с детьми;Чем тебе было бы интересно заниматься с ребятами?;несколько ответов;;b;Проводить игры, квесты и творческие мастер-классы;1;0;0;0;0;0;0;0;0;0;0;1;0
9;2. Дети и подростки;children-activities;Интересные занятия с детьми;Чем тебе было бы интересно заниматься с ребятами?;несколько ответов;;c;Рассказывать о профессиях и помогать выбрать, куда поступать;1;0;0;0;0;0;0;0;0;0;1;0;0
9;2. Дети и подростки;children-activities;Интересные занятия с детьми;Чем тебе было бы интересно заниматься с ребятами?;несколько ответов;;d;Заниматься с детьми с особенностями развития;1;1;0;0;0;0;0;0;0;0;0;0;0
9;2. Дети и подростки;children-activities;Интересные занятия с детьми;Чем тебе было бы интересно заниматься с ребятами?;несколько ответов;;e;Ничего из этого меня не привлекает;0;0;0;0;0;0;0;0;0;0;0;0;0
10;2. Дети и подростки;children-situation;Реакция на дерзкого подростка;На занятии подросток демонстративно сидит в телефоне и грубит в ответ на замечания. Как поступишь?;один ответ;да;a;Сделаю строгое замечание при всех, чтобы другим было неповадно;0;0;0;0;0;0;0;0;0;0;0;0;0
10;2. Дети и подростки;children-situation;Реакция на дерзкого подростка;На занятии подросток демонстративно сидит в телефоне и грубит в ответ на замечания. Как поступишь?;один ответ;да;b;Не стану спорить при всех, а после занятия спокойно поговорю с ним наедине;3;0;0;0;0;0;0;0;0;0;0;0;1
10;2. Дети и подростки;children-situation;Реакция на дерзкого подростка;На занятии подросток демонстративно сидит в телефоне и грубит в ответ на замечания. Как поступишь?;один ответ;да;c;Не буду обращать внимания — это его выбор;0;0;0;0;0;0;0;0;0;0;0;0;0
10;2. Дети и подростки;children-situation;Реакция на дерзкого подростка;На занятии подросток демонстративно сидит в телефоне и грубит в ответ на замечания. Как поступишь?;один ответ;да;d;Предложу ему роль в игре, где он сможет себя проявить;2;0;0;0;0;0;0;0;0;0;0;1;0
11;2. Дети и подростки;children-commitment;Готовность к постоянству с детьми;Дети из социальных учреждений быстро привязываются к волонтёрам и тяжело переживают, когда те пропадают. Готов(а) ли ты к такой ответственности?;один ответ;;a;Да: если начну, буду приходить регулярно хотя бы полгода;3;0;0;0;0;0;1;1;0;0;0;0;0
11;2. Дети и подростки;children-commitment;Готовность к постоянству с детьми;Дети из социальных учреждений быстро привязываются к волонтёрам и тяжело переживают, когда те пропадают. Готов(а) ли ты к такой ответственности?;один ответ;;b;Скорее да, если рядом будет куратор, который подскажет;2;0;0;0;0;0;0;0;0;0;0;0;0
11;2. Дети и подростки;children-commitment;Готовность к постоянству с детьми;Дети из социальных учреждений быстро привязываются к волонтёрам и тяжело переживают, когда те пропадают. Готов(а) ли ты к такой ответственности?;один ответ;;c;Пока не уверен(а), что смогу быть рядом так долго;1;0;0;0;0;0;0;0;0;0;0;0;0
11;2. Дети и подростки;children-commitment;Готовность к постоянству с детьми;Дети из социальных учреждений быстро привязываются к волонтёрам и тяжело переживают, когда те пропадают. Готов(а) ли ты к такой ответственности?;один ответ;;d;Мне ближе разовые акции без долгих обязательств;0;0;0;0;0;0;0;-1;0;0;0;0;0
12;3. Люди с инвалидностью;inclusion-experience;Опыт общения с людьми с инвалидностью;Доводилось ли тебе общаться с людьми с инвалидностью?;один ответ;;a;Да, это часть моей жизни — в семье или среди близких друзей;0;3;0;0;0;0;0;0;0;0;0;0;0
12;3. Люди с инвалидностью;inclusion-experience;Опыт общения с людьми с инвалидностью;Доводилось ли тебе общаться с людьми с инвалидностью?;один ответ;;b;Да, на учёбе, работе или мероприятиях;0;2;0;0;0;0;0;0;0;0;0;0;0
12;3. Люди с инвалидностью;inclusion-experience;Опыт общения с людьми с инвалидностью;Доводилось ли тебе общаться с людьми с инвалидностью?;один ответ;;c;Почти нет, но хочу научиться правильно помогать;0;1;0;0;0;0;0;0;1;0;0;0;0
12;3. Люди с инвалидностью;inclusion-experience;Опыт общения с людьми с инвалидностью;Доводилось ли тебе общаться с людьми с инвалидностью?;один ответ;;d;Нет, и я боюсь сделать что-то не так;0;0;0;0;0;0;0;0;0;0;0;0;0
13;3. Люди с инвалидностью;inclusion-skills;Навыки, которые готов освоить;Чему из этого ты готов(а) научиться?;несколько ответов;;a;Помогать человеку на коляске передвигаться по городу и в транспорте;0;1;0;0;1;0;0;0;0;0;0;0;1
13;3. Люди с инвалидностью;inclusion-skills;Навыки, которые готов освоить;Чему из этого ты готов(а) научиться?;несколько ответов;;b;Основам русского жестового языка;0;1;0;0;0;0;0;0;1;0;0;0;0
13;3. Люди с инвалидностью;inclusion-skills;Навыки, которые готов освоить;Чему из этого ты готов(а) научиться?;несколько ответов;;c;Тифлокомментированию — описывать происходящее для незрячих на спектаклях и экскурсиях;0;1;0;0;0;0;0;0;1;0;0;1;0
13;3. Люди с инвалидностью;inclusion-skills;Навыки, которые готов освоить;Чему из этого ты готов(а) научиться?;несколько ответов;;d;Общаться с людьми, которые с возрастом стали хуже слышать или видеть;0;1;1;0;0;0;0;0;0;0;0;0;0
13;3. Люди с инвалидностью;inclusion-skills;Навыки, которые готов освоить;Чему из этого ты готов(а) научиться?;несколько ответов;;e;Ничему из этого — мне это не близко;0;0;0;0;0;0;0;0;0;0;0;0;0
14;3. Люди с инвалидностью;inclusion-situation;Сопровождение незрячего;Ты сопровождаешь незрячего человека на экскурсии, и вам нужно перейти дорогу. Что сделаешь?;один ответ;да;a;Возьму его за руку и уверенно поведу через дорогу;0;0;0;0;0;0;0;0;0;0;0;0;0
14;3. Люди с инвалидностью;inclusion-situation;Сопровождение незрячего;Ты сопровождаешь незрячего человека на экскурсии, и вам нужно перейти дорогу. Что сделаешь?;один ответ;да;b;Буду говорить громче и медленнее, чтобы он точно всё понял;0;0;0;0;0;0;0;0;0;0;0;0;0
14;3. Люди с инвалидностью;inclusion-situation;Сопровождение незрячего;Ты сопровождаешь незрячего человека на экскурсии, и вам нужно перейти дорогу. Что сделаешь?;один ответ;да;c;Спрошу, нужна ли помощь, и предложу взять меня под локоть — пойду на полшага впереди;0;3;0;0;0;0;0;0;0;0;0;0;0
14;3. Люди с инвалидностью;inclusion-situation;Сопровождение незрячего;Ты сопровождаешь незрячего человека на экскурсии, и вам нужно перейти дорогу. Что сделаешь?;один ответ;да;d;Спрошу, нужна ли помощь, и пойду рядом, предупреждая словами о бордюрах и ступеньках;0;2;0;0;0;0;0;0;0;0;0;0;0
15;3. Люди с инвалидностью;inclusion-readiness;Реакция на непривычное поведение;На инклюзивном мероприятии участник с ментальными особенностями ведёт себя непривычно: громко смеётся, повторяет одни и те же фразы. Как ты себя почувствуешь?;один ответ;;a;Спокойно: так проявляются его особенности, моя задача — быть рядом и поддержать;0;3;0;0;0;0;1;0;0;0;0;0;0
15;3. Люди с инвалидностью;inclusion-readiness;Реакция на непривычное поведение;На инклюзивном мероприятии участник с ментальными особенностями ведёт себя непривычно: громко смеётся, повторяет одни и те же фразы. Как ты себя почувствуешь?;один ответ;;b;Сначала растеряюсь, но справлюсь, если координатор подскажет, что делать;0;2;0;0;0;0;0;0;1;0;0;0;0
15;3. Люди с инвалидностью;inclusion-readiness;Реакция на непривычное поведение;На инклюзивном мероприятии участник с ментальными особенностями ведёт себя непривычно: громко смеётся, повторяет одни и те же фразы. Как ты себя почувствуешь?;один ответ;;c;Мне будет неловко, но я постараюсь этого не показывать;0;1;0;0;0;0;0;0;0;0;0;0;0
15;3. Люди с инвалидностью;inclusion-readiness;Реакция на непривычное поведение;На инклюзивном мероприятии участник с ментальными особенностями ведёт себя непривычно: громко смеётся, повторяет одни и те же фразы. Как ты себя почувствуешь?;один ответ;;d;Мне будет некомфортно — я бы выбрал(а) другую помощь;0;0;0;0;0;0;-1;0;0;0;0;0;0
16;4. Старшее поколение;seniors-experience;Общение с пожилыми;Как часто ты общаешься с людьми старшего возраста — бабушками и дедушками, соседями, пожилыми знакомыми?;один ответ;;a;Постоянно: помогаю им, и мне интересно с ними разговаривать;0;0;3;0;0;0;0;0;0;0;0;0;0
16;4. Старшее поколение;seniors-experience;Общение с пожилыми;Как часто ты общаешься с людьми старшего возраста — бабушками и дедушками, соседями, пожилыми знакомыми?;один ответ;;b;Время от времени — на праздниках и семейных встречах;0;0;2;0;0;0;0;0;0;0;0;0;0
16;4. Старшее поколение;seniors-experience;Общение с пожилыми;Как часто ты общаешься с людьми старшего возраста — бабушками и дедушками, соседями, пожилыми знакомыми?;один ответ;;c;Редко, но хотел(а) бы чаще;0;0;1;0;0;0;0;0;0;0;0;0;0
16;4. Старшее поколение;seniors-experience;Общение с пожилыми;Как часто ты общаешься с людьми старшего возраста — бабушками и дедушками, соседями, пожилыми знакомыми?;один ответ;;d;Почти не общаюсь, мне трудно найти с ними общий язык;0;0;0;0;0;0;0;0;0;0;0;0;0
17;4. Старшее поколение;seniors-help;Помощь пожилым;Чем ты мог(ла) бы помочь пожилым людям?;несколько ответов;;a;Научить пользоваться смартфоном, мессенджерами и Госуслугами;0;0;1;0;0;0;0;0;0;0;1;0;0
17;4. Старшее поколение;seniors-help;Помощь пожилым;Чем ты мог(ла) бы помочь пожилым людям?;несколько ответов;;b;Приносить продукты и лекарства, помогать по дому;0;0;1;0;1;0;0;0;0;0;0;0;1
17;4. Старшее поколение;seniors-help;Помощь пожилым;Чем ты мог(ла) бы помочь пожилым людям?;несколько ответов;;c;Гулять, играть в настольные игры, слушать истории из жизни;0;0;1;0;0;0;0;0;0;0;0;0;1
17;4. Старшее поколение;seniors-help;Помощь пожилым;Чем ты мог(ла) бы помочь пожилым людям?;несколько ответов;;d;Вместе с пожилыми соседями озеленить двор: разбить клумбы, посадить кусты;0;0;1;1;0;1;0;0;0;0;0;0;0
17;4. Старшее поколение;seniors-help;Помощь пожилым;Чем ты мог(ла) бы помочь пожилым людям?;несколько ответов;;e;Ничего из этого мне не подходит;0;0;0;0;0;0;0;0;0;0;0;0;0
18;4. Старшее поколение;seniors-situation;Обучение пожилого смартфону;Ты учишь пожилого человека пользоваться смартфоном, а он в третий раз забывает, как отправить фотографию. Что сделаешь?;один ответ;да;a;Сделаю всё сам(а) — так быстрее для нас обоих;0;0;0;0;0;0;0;0;0;0;0;0;0
18;4. Старшее поколение;seniors-situation;Обучение пожилого смартфону;Ты учишь пожилого человека пользоваться смартфоном, а он в третий раз забывает, как отправить фотографию. Что сделаешь?;один ответ;да;b;Спокойно покажу ещё раз и запишу шаги крупными буквами на листке;0;0;3;0;0;0;0;0;0;0;1;0;0
18;4. Старшее поколение;seniors-situation;Обучение пожилого смартфону;Ты учишь пожилого человека пользоваться смартфоном, а он в третий раз забывает, как отправить фотографию. Что сделаешь?;один ответ;да;c;Покажу ещё раз и попрошу повторить самостоятельно;0;0;2;0;0;0;0;0;0;0;1;0;0
18;4. Старшее поколение;seniors-situation;Обучение пожилого смартфону;Ты учишь пожилого человека пользоваться смартфоном, а он в третий раз забывает, как отправить фотографию. Что сделаешь?;один ответ;да;d;Скажу, что это элементарно, и посоветую спросить у внуков;0;0;0;0;0;0;0;0;0;0;0;0;0
19;4. Старшее поколение;seniors-readiness;Готовность к болезням и утратам;Подопечные в домах престарелых часто болеют, и с некоторыми со временем приходится прощаться. Как ты к этому относишься?;один ответ;;a;Понимаю, что это часть жизни, — мне важно, чтобы их дни были теплее;0;0;3;0;0;0;2;0;0;0;0;0;0
19;4. Старшее поколение;seniors-readiness;Готовность к болезням и утратам;Подопечные в домах престарелых часто болеют, и с некоторыми со временем приходится прощаться. Как ты к этому относишься?;один ответ;;b;Будет тяжело, но я справлюсь, если рядом будут команда и психолог;0;0;2;0;0;0;1;0;0;0;0;0;0
19;4. Старшее поколение;seniors-readiness;Готовность к болезням и утратам;Подопечные в домах престарелых часто болеют, и с некоторыми со временем приходится прощаться. Как ты к этому относишься?;один ответ;;c;Пока не знаю, как я с этим справлюсь;0;0;1;0;0;0;0;0;0;0;0;0;0
19;4. Старшее поколение;seniors-readiness;Готовность к болезням и утратам;Подопечные в домах престарелых часто болеют, и с некоторыми со временем приходится прощаться. Как ты к этому относишься?;один ответ;;d;Для меня это слишком тяжело эмоционально;0;0;0;0;0;0;-2;0;0;0;0;0;0
20;5. Экология;ecology-habits;Экология в повседневной жизни;Насколько экология — часть твоей повседневной жизни?;один ответ;;a;Сортирую отходы, сдаю вторсырьё и хожу на экоакции;0;0;0;3;0;0;0;0;0;0;0;0;0
20;5. Экология;ecology-habits;Экология в повседневной жизни;Насколько экология — часть твоей повседневной жизни?;один ответ;;b;Иногда: сдаю батарейки, ношу с собой шопер или бутылку для воды;0;0;0;2;0;0;0;0;0;0;0;0;0
20;5. Экология;ecology-habits;Экология в повседневной жизни;Насколько экология — часть твоей повседневной жизни?;один ответ;;c;Пока никак, но хочу разобраться;0;0;0;1;0;0;0;0;0;0;0;0;0
20;5. Экология;ecology-habits;Экология в повседневной жизни;Насколько экология — часть твоей повседневной жизни?;один ответ;;d;Никак, эта тема меня мало волнует;0;0;0;0;0;0;0;0;0;0;0;0;0
21;5. Экология;ecology-projects;Интересные экопроекты;В каких экопроектах тебе было бы интересно поучаствовать?;несколько ответов;;a;Уборка берегов рек, лесов и парков;0;0;0;1;1;1;0;0;0;0;0;0;0
21;5. Экология;ecology-projects;Интересные экопроекты;В каких экопроектах тебе было бы интересно поучаствовать?;несколько ответов;;b;Посадка деревьев и уход за городской зеленью;0;0;0;1;1;1;0;0;0;0;0;0;0
21;5. Экология;ecology-projects;Интересные экопроекты;В каких экопроектах тебе было бы интересно поучаствовать?;несколько ответов;;c;Экоуроки и квесты о природе для школьников;1;0;0;1;0;0;0;0;0;0;1;0;0
21;5. Экология;ecology-projects;Интересные экопроекты;В каких экопроектах тебе было бы интересно поучаствовать?;несколько ответов;;d;Помощь заповедникам: учёт птиц, обустройство экотроп;0;0;0;1;0;1;0;0;0;0;0;0;0
21;5. Экология;ecology-projects;Интересные экопроекты;В каких экопроектах тебе было бы интересно поучаствовать?;несколько ответов;;e;Ни в каких — мне это не близко;0;0;0;0;0;0;0;0;0;0;0;0;0
22;5. Экология;ecology-situation;Приём грязного вторсырья;На акцию по сбору вторсырья человек приносит пакет, где вперемешку пластик, стекло и остатки еды. Что сделаешь?;один ответ;да;a;Приму всё как есть — главное, что человек пришёл;0;0;0;0;0;0;0;0;0;0;0;0;0
22;5. Экология;ecology-situation;Приём грязного вторсырья;На акцию по сбору вторсырья человек приносит пакет, где вперемешку пластик, стекло и остатки еды. Что сделаешь?;один ответ;да;b;Вежливо объясню, как готовить вторсырьё, и помогу отобрать то, что можно принять;0;0;0;3;0;0;0;0;0;0;1;0;0
22;5. Экология;ecology-situation;Приём грязного вторсырья;На акцию по сбору вторсырья человек приносит пакет, где вперемешку пластик, стекло и остатки еды. Что сделаешь?;один ответ;да;c;Приму только чистое вторсырьё, а остальное попрошу унести;0;0;0;2;0;0;0;0;0;0;0;0;0
22;5. Экология;ecology-situation;Приём грязного вторсырья;На акцию по сбору вторсырья человек приносит пакет, где вперемешку пластик, стекло и остатки еды. Что сделаешь?;один ответ;да;d;Откажу: пусть сначала разберётся, как правильно;0;0;0;0;0;0;0;0;0;0;0;0;0
23;5. Экология;ecology-readiness;Отношение к грязной работе;Экологическая работа бывает грязной и однообразной: разбирать мусор, работать под дождём, месяцами ждать результата. Как тебе такое?;один ответ;;a;Нормально: перчатки, сапоги — и вперёд, мне нравится физическая работа;0;0;0;3;2;2;0;0;0;0;0;0;0
23;5. Экология;ecology-readiness;Отношение к грязной работе;Экологическая работа бывает грязной и однообразной: разбирать мусор, работать под дождём, месяцами ждать результата. Как тебе такое?;один ответ;;b;Готов(а), если в команде хорошая атмосфера и понятна цель;0;0;0;2;0;1;0;0;0;0;0;0;0
23;5. Экология;ecology-readiness;Отношение к грязной работе;Экологическая работа бывает грязной и однообразной: разбирать мусор, работать под дождём, месяцами ждать результата. Как тебе такое?;один ответ;;c;Разово можно, но постоянно — вряд ли;0;0;0;1;0;0;0;-1;0;0;0;0;0
23;5. Экология;ecology-readiness;Отношение к грязной работе;Экологическая работа бывает грязной и однообразной: разбирать мусор, работать под дождём, месяцами ждать результата. Как тебе такое?;один ответ;;d;Предпочитаю помогать в тепле и чистоте;0;0;0;0;-1;-2;0;0;0;0;0;0;0
